region,wins,good
SEC,1020,Champions
ACC,975,Champions
Big10,821,Champions
Big12,868,Not Champions
CUSA,521,Not Champions
IND,321,Not Champions
MNW,621,Not Champions
PAC12,794,Not Champions
Sunbelt,417,Not Champions
